wd_source_id,wd_ra,wd_dec,wd_rv_from,wd_plate,wd_mjd,wd_fiberid,wd_rv,wd_e_rv,ms_source_id,ms_ra,ms_dec,ms_rv_from,ms_rv,ms_e_rv,g_redshift,eg_redshift,wd_phot_g_mean_mag,wd_phot_bp_mean_mag,wd_phot_rp_mean_mag,r_med_geo,phot_teff,radius,e_radius
520790043346964608,35.98571063849756,68.81841825,sdss5,,,,-43.29200237,15.06606737350167,520790043347308416,35.99023910882211,68.81769067523102,gaia,-58.96277237,14.021309326679447,15.67076999877829,20.581144315545714,15.405280113220215,15.389127731323242,15.463220596313477,61.40821457,13164.18266565889,0.013203497804090397,0.00189173
558036098518042752,85.52110202833926,82.33141894269143,sdss4,2548,54152,245,-8.892783882,15.23231875,558036102814356352,85.50417342993619,82.32790064143006,gaia,-34.98776627,14.286156231001835,26.094982383759827,20.883433492547507,17.987838745117188,18.30325698852539,17.556364059448242,62.16005325317383,6103.613058969113,0.012048595378245586,0.00055292
590880916021900672,138.90414180334596,9.726287587275896,sdss4,1739,53050,12,39.62158679576029,14.701726253571268,590879369833672960,138.89762315010768,9.710002956109786,gaia,11.608222007751465,15.104702307144752,28.013364788008822,21.078253879826256,17.240758895874023,17.257251739501953,17.272066116333008,128.17918395996094,11984.377652416813,0.012647955503237237,0.00170242
595270136375043712,131.02003979800602,7.161946066998782,sdss4,4903,55927,968,45.089500255643955,13.282391615107144,595270132079532160,131.01818886051248,7.162955654749091,gaia,26.719120025634766,14.28946361795417,18.37038023000919,19.509246461765365,16.51776885986328,16.37242889404297,16.797645568847656,238.52008056640625,30983.17702316458,0.015008888074624454,0.000943965
599514865440544640,126.56099383645001,9.248176754516875,sdss5,,,,4.952924199254002,11.752279308901851,599514869734362112,126.56014939313066,9.248475945991736,gaia,-27.72565651,14.727862963097891,32.67858070865341,18.84213407271674,17.137582778930664,17.180328369140625,16.954988479614258,99.06838226,9299.746113095789,0.014530516943061199,0.000598607
599615711270729984,127.62408418489859,8.837161152356883,sdss4,1758,53084,530,-16.65343997,17.065463659732465,599615715567025024,127.62798333546151,8.841672708700326,gaia,-19.90232658,14.008823959668797,3.248886614,22.078885810987835,18.0476017,17.992956161499023,18.21173095703125,267.6803894042969,17623.17947786421,0.013555725592126264,0.001221514
601843390550086784,131.1822072,11.424037744610645,sdss5,,,,78.50441300879442,19.68192421005267,601843390547864832,131.18295024839597,11.423948782206782,sdss5,33.11986716170637,14.065938571310076,45.38454584708805,24.191501989378956,18.641172409057617,18.693042755126953,18.615758895874023,244.33726501464844,10751.356436344728,0.014167465,0.001393143
611167150367477888,135.38984060328207,16.961662127665445,sdss4,5297,55913,346,68.42588394914495,11.244524280012715,611167253447201280,135.3953760551866,16.961021759044502,gaia,59.09806442260742,14.008336881438586,9.327819526537525,17.963096294004217,16.98643684387207,16.91045379638672,17.174909591674805,185.48988342285156,19831.003870653643,0.013969591878626536,0.001107988
642837135401004672,149.9890622737599,25.230834484196077,sdss4,2344,53740,181,38.918099270546406,16.42282250003351,642837139695905024,149.98776534904346,25.23478679305756,gaia,24.224943161010742,14.105668987589668,14.693156109535664,21.648995275879567,18.105680465698242,18.324745178222656,17.777557373046875,78.03054809570312,6999.401075144864,0.011311898433022995,0.000245388
647300160472509184,148.0952666,27.890203834409977,sdss4,5794,56282,772,63.245303530747535,11.587529875834385,647300091753069952,148.10097133428323,27.883204894445928,gaia,24.05580711364746,14.010026121601028,39.189496417100074,18.18108029,17.200176239013672,17.183881759643555,17.31225586,149.46597290039062,14524.231394253877,0.013049846081147736,0.00163199
649472245695986816,124.52862678921322,12.198718747803403,sdss4,4508,55600,503,101.05844618044112,16.000215552151825,649472486214811776,124.52158055089438,12.21579127532677,gaia,33.17270278930664,14.04452987659048,67.88574339113448,21.289803126608845,17.443571090698242,17.311389923095703,17.73723602294922,272.2739562988281,31055.969023941092,0.011092322713024412,0.000687472
664633926927091968,128.2847508735703,20.489558388400336,sdss5,,,,-52.62369825,21.967228508998954,664633926926598912,128.28644916542788,20.490786535832058,gaia,-66.27307892,14.111509981386769,13.649380671435452,26.109267364699356,19.42779541015625,19.272825241088867,19.65240478515625,676.4383544921875,26496.604581966785,0.013080190398365218,0.32596745969187074
672816969200760064,114.83243737329389,20.14153822656666,sdss5,,,,46.24278809361336,10.534461131710662,672819928433682560,114.82410461449784,20.148576188242366,gaia,-1.930846334,14.00092480441162,48.173634427117086,17.521437347270094,15.951560974121094,15.948029518127441,16.00515365600586,64.51032257080078,12787.639200891581,0.010972641015923434,0.001568488
676167047988099456,125.57361440809882,21.510761467051356,sdss5,,,,64.30003635086204,13.700205682297444,676167047988099712,125.5734487033048,21.509638654241474,gaia,31.856199264526367,14.222166561818156,32.44383708633568,19.74754813766392,17.50055503845215,17.45462989807129,17.514894485473633,171.68637084960938,12859.237022850106,0.014527908892537439,0.002081895
680942501864322944,121.82552220063087,24.572143429821725,sdss5,,,,-24.43362758,12.13326688151643,680942433144846720,121.82337671260503,24.56722667580684,gaia,-58.48765182,14.002388827348216,34.05402424128311,18.527899451647226,17.630037307739258,17.75344467163086,17.482131958007812,101.54253387451172,8908.582949330439,0.012306786,0.000361466
707673416242396160,128.47349305179546,29.24599686193187,sdss4,1268,52933,475,7.539313995477216,16.189424752329767,707673622400826112,128.47104205409858,29.25025192006539,apo,-11.8794153,14.00646153117848,19.418729296874712,21.407438857456313,17.90345573425293,18.135244369506836,17.541025161743164,70.46399688720703,6754.368913532326,0.011952935059832694,0.000332434
