Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,FileName,ra,de,decimal_date,helio_corr
HS2132+0941,21,34,50.81,+,9,55,20.3,HS2132p0941_c_2001_08_24T02_25_19_all.dat.gz,21.580796666666668,9.92292,2001.6438356164383,23.56564047230679
HS2132+0941,21,34,50.81,+,9,55,20.3,HS2132p0941_d_2001_08_20T01_29_53_all.dat.gz,21.580832733333335,9.92253,2001.6328767123289,24.720786335626624
HS2138+0910,21,41,3.03,+,9,23,45.4,HS2138p0910_a_2001_08_24T02_40_54_all.dat.gz,21.6842008,9.39634,2001.6438356164383,23.53613108835868
HS2138+0910,21,41,3.03,+,9,23,45.4,HS2138p0910_b_2001_08_20T01_44_49_all.dat.gz,21.684199200000002,9.39553,2001.6328767123289,24.69412379506067
HS2148+1631,21,51,14.57,+,16,45,23.7,HS2148p1631_a_2002_09_23T02_12_59_all.dat.gz,21.854062266666666,16.75648,2002.7260273972602,13.170490138252745
HS2148+1631,21,51,14.57,+,16,45,23.7,HS2148p1631_b_2002_09_24T01_19_57_all.dat.gz,21.854039266666668,16.75598,2002.7287671232878,12.719650080623024
HS2210+2323,22,12,53.50,+,23,38,0.3,HS2210p2323_a_2002_09_24T02_46_40_all.dat.gz,22.214844333333335,23.6337,2002.7287671232878,13.792512648979294
HS2210+2323,22,12,53.50,+,23,38,0.3,HS2210p2323_b_2002_09_25T00_15_51_all.dat.gz,22.214832866666665,23.63363,2002.731506849315,13.357911582577703
HS2216+1551,22,18,57.16,+,16,6,57.4,HS2216p1551_a_2002_09_25T00_30_09_all.dat.gz,22.3158942,16.11612,2002.731506849315,12.366998530160247
HS2216+1551,22,18,57.16,+,16,6,57.4,HS2216p1551_b_2002_09_26T02_51_00_all.dat.gz,22.315965000000002,16.11626,2002.7342465753425,11.908108763375571
HS2220+2146A,22,23,1.60,+,22,1,31.7,HS2220p2146A_a_2002_09_25T01_38_57_all.dat.gz,22.383792200000002,22.02354,2002.731506849315,13.22538092347266
HS2220+2146A,22,23,1.60,+,22,1,31.7,HS2220p2146A_b_2002_09_26T03_11_45_all.dat.gz,22.383838733333334,22.02436,2002.7342465753425,12.78208137506278
HS2220+2146B,22,23,1.71,+,22,1,25.3,HS2220p2146B_a_2002_09_25T01_46_57_all.dat.gz,22.383762466666667,22.02522,2002.731506849315,13.22558476636501
HS2220+2146B,22,23,1.71,+,22,1,25.3,HS2220p2146B_b_2002_09_26T03_04_36_all.dat.gz,22.383826866666666,22.02608,2002.7342465753425,12.782302900273136
HS2225+2158,22,28,11.47,+,22,14,15.3,HS2225p2158_a_2002_09_25T02_14_44_all.dat.gz,22.469881866666665,22.23762,2002.731506849315,13.288552408484636
HS2225+2158,22,28,11.47,+,22,14,15.3,HS2225p2158_b_2002_09_26T03_19_42_all.dat.gz,22.46987293333333,22.23762,2002.7342465753425,12.846023665006477
HS2229+2335,22,31,45.47,+,23,51,23.4,HS2229p2335_a_2002_09_25T02_28_04_all.dat.gz,22.52936106666667,23.85679,2002.731506849315,13.514152900233352
HS2229+2335,22,31,45.47,+,23,51,23.4,HS2229p2335_b_2002_09_26T03_32_58_all.dat.gz,22.529361666666667,23.85682,2002.7342465753425,13.076877179404981
HS2233+0008,22,36,3.21,+,0,7,24.1,HS2233p0008_a_2002_09_25T02_42_28_all.dat.gz,22.600872,0.12299,2002.731506849315,9.617861174163957
HS2233+0008,22,36,3.21,+,0,7,24.1,HS2233p0008_b_2002_09_26T03_47_15_all.dat.gz,22.6008694,0.12309,2002.7342465753425,9.143158859638975
HS2240+1234A,22,42,31.15,+,12,50,5.0,HS2240p1234A_a_2002_09_24T04_58_58_all.dat.gz,22.708449133333332,12.83391,2002.7287671232878,12.479907960047656
HS2240+1234A,22,42,31.15,+,12,50,5.0,HS2240p1234A_b_2002_09_25T03_37_16_all.dat.gz,22.708459533333333,12.83397,2002.731506849315,12.019825070363162
HS2240+1234B,22,42,30.34,+,12,50,2.4,HS2240p1234B_a_2002_09_24T05_17_40_all.dat.gz,22.708666466666667,12.83441,2002.7287671232878,12.480082826216112
HS2240+1234B,22,42,30.34,+,12,50,2.4,HS2240p1234B_b_2002_09_25T03_24_17_all.dat.gz,22.708688,12.83468,2002.731506849315,12.02004069257001
HS2244+0305,22,47,22.25,+,3,21,46.9,HS2244p0305_a_2002_09_24T05_33_40_all.dat.gz,22.789460733333332,3.36203,2002.7287671232878,10.822122226040587
HS2244+0305,22,47,22.25,+,3,21,46.9,HS2244p0305_b_2002_09_25T03_53_21_all.dat.gz,22.789451,3.36224,2002.731506849315,10.352028372627995
HS2244+2103,22,46,45.26,+,21,19,47.1,HS2244p2103_a_2002_09_26T04_12_00_all.dat.gz,22.7792556,21.32993,2002.7342465753425,12.85580796794067
HS2244+2103,22,46,45.26,+,21,19,47.1,HS2244p2103_b_2002_09_27T01_49_56_all.dat.gz,22.7792458,21.32996,2002.7369863013698,12.407229411784375
HS2259+1419,23,1,55.17,+,14,36,0.8,HS2259p1419_a_2002_09_26T04_26_01_all.dat.gz,23.031907466666667,14.60012,2002.7342465753425,11.982602565328833
HS2259+1419,23,1,55.17,+,14,36,0.8,HS2259p1419_b_2002_09_25T04_20_59_all.dat.gz,23.031908666666666,14.60012,2002.731506849315,12.442427648044376
MCT0031-3107,0,34,24.85,-,30,51,24.2,MCT0031m3107_a_2000_09_16T04_20_48_all.dat.gz,0.5735328666666667,30.85715,2000.707650273224,9.095911236597276
MCT0031-3107,0,34,24.85,-,30,51,24.2,MCT0031m3107_a_2001_07_24T09_48_49_all.dat.gz,0.5735694666666666,30.85711,2001.558904109589,24.982921198823234
MCT0033-3440,0,36,13.88,-,34,23,35.4,MCT0033m3440_a_2000_09_16T04_36_55_all.dat.gz,0.6038909333333333,34.39293,2000.707650273224,9.597436506783051
MCT0033-3440,0,36,13.88,-,34,23,35.4,MCT0033m3440_a_2002_08_15T09_54_11_all.dat.gz,0.6038093333333333,34.39277,2002.6191780821919,20.487616457735133
MCT0105-1634,1,8,9.81,-,16,18,44.3,MCT0105m1634_a_2000_07_14T06_59_38_all.dat.gz,1.1360554666666667,16.3126,2000.532786885246,27.722187481219347
MCT0105-1634,1,8,9.81,-,16,18,44.3,MCT0105m1634_b_2000_07_17T08_19_23_all.dat.gz,1.1360583333333334,16.31236,2000.5409836065573,27.349688223981268
MCT0105-1634,1,8,9.81,-,16,18,44.3,MCT0105m1634_b_2003_09_01T04_15_27_all.dat.gz,1.135984,16.31267,2003.6657534246576,14.127532936241451
MCT0110-1617,1,13,14.19,-,16,1,44.3,MCT0110m1617_a_2000_08_05T10_03_17_all.dat.gz,1.2205797999999999,16.02959,2000.5928961748634,23.443827019957695
MCT0110-1617,1,13,14.19,-,16,1,44.3,MCT0110m1617_a_2002_09_12T08_56_14_all.dat.gz,1.2205772666666665,16.02965,2002.695890410959,9.10155406471903
MCT0111-3806,1,14,3.23,-,37,50,41.8,MCT0111m3806_a_2002_09_14T03_36_11_all.dat.gz,1.2341726666666666,37.84444,2002.7013698630137,11.219064881327187
MCT0111-3806,1,14,3.23,-,37,50,41.8,MCT0111m3806_b_2001_08_25T09_09_17_all.dat.gz,1.2341596666666668,37.84463,2001.6465753424657,17.814788233807366
MCT0136-2010,1,38,32.02,-,19,54,46.6,MCT0136m2010_a_2000_07_18T08_36_15_all.dat.gz,1.6421248666666666,19.91399,2000.5437158469945,27.079678023852136
MCT0136-2010,1,38,32.02,-,19,54,46.6,MCT0136m2010_b_2000_07_12T07_12_57_all.dat.gz,1.6421453333333333,19.91314,2000.5273224043715,27.695718257680944
MCT0138-4014,1,40,11.00,-,39,59,24.6,MCT0138m4014_a_2000_08_05T09_00_24_all.dat.gz,1.6697336666666667,39.98998,2000.5928961748634,22.185131584239052
MCT0138-4014,1,40,11.00,-,39,59,24.6,MCT0138m4014_a_2002_09_15T05_25_22_all.dat.gz,1.6697372666666666,39.99044,2002.704109589041,11.229485185012752
MCT0138-4014,1,40,11.00,-,39,59,24.6,MCT0138m4014_a_2002_09_15T07_28_06_all.dat.gz,1.6697469333333332,39.99047,2002.704109589041,11.22949172109096
MCT2343-1740,23,46,25.62,-,17,24,10.3,MCT2343m1740_a_2000_09_15T02_52_54_all.dat.gz,23.773880866666666,17.40203,2000.704918032787,17.2516270310994
MCT2343-1740,23,46,25.62,-,17,24,10.3,MCT2343m1740_b_2000_09_16T01_33_35_all.dat.gz,23.7736512,17.40127,2000.707650273224,16.845384566297742
MCT2345-3940,23,48,26.46,-,39,23,47.4,MCT2345m3940_a_2000_09_15T02_36_21_all.dat.gz,23.807365066666666,39.39594,2000.704918032787,18.572611835250257
MCT2345-3940,23,48,26.46,-,39,23,47.4,MCT2345m3940_b_2000_09_16T01_16_37_all.dat.gz,23.807343733333333,39.39617,2000.707650273224,18.253610808316225
MCT2349-3627,23,52,8.17,-,36,10,40.2,MCT2349m3627_a_2000_09_15T04_42_45_all.dat.gz,23.868929733333335,36.17774,2000.704918032787,18.57000078776443
MCT2349-3627,23,52,8.17,-,36,10,40.2,MCT2349m3627_b_2000_09_17T02_58_51_all.dat.gz,23.868936066666667,36.17752,2000.7103825136612,17.895070157870226
MCT2352-1249,23,55,13.66,-,12,32,54.9,MCT2352m1249_a_2000_09_15T04_58_51_all.dat.gz,23.920483,12.5485,2000.704918032787,16.66804555271946
MCT2352-1249,23,55,13.66,-,12,32,54.9,MCT2352m1249_b_2000_09_17T03_13_38_all.dat.gz,23.920466666666666,12.54864,2000.7103825136612,15.829283039216461
MCT2352-1249,23,55,13.66,-,12,32,54.9,MCT2352m1249_b_2003_07_02T10_02_07_all.dat.gz,23.920460933333334,12.549,2003.4986301369863,28.017823470743487
PG0922+162A,9,25,13.44,+,16,1,43.9,PG0922p162A_a_2002_02_17T05_35_38_all.dat.gz,9.420411266666667,16.02943,2002.1287671232876,-22.19172198926512
PG0922+162A,9,25,13.44,+,16,1,43.9,PG0922p162A_b_2002_02_22T02_36_48_all.dat.gz,9.420409933333334,16.02941,2002.1424657534246,-20.354652414259483
PG0922+162B,9,25,13.14,+,16,1,45.2,PG0922p162B_a_2002_02_15T04_55_25_all.dat.gz,9.4203782,16.02907,2002.123287671233,-22.882012807910474
PG0922+162B,9,25,13.14,+,16,1,45.2,PG0922p162B_b_2002_02_22T02_59_02_all.dat.gz,9.420292666666667,16.02937,2002.1424657534246,-20.35460599641816
PG0959-085,10,1,33.27,-,8,42,50.5,PG0959m085_a_2000_06_11T00_15_36_all.dat.gz,10.0259528,8.71436,2000.4426229508197,26.998352275675096
PG0959-085,10,1,33.27,-,8,42,50.5,PG0959m085_b_2000_06_08T00_09_58_all.dat.gz,10.025888133333332,8.71465,2000.4344262295083,26.388207606360396
WD0000-186,0,3,11.18,-,18,21,59.2,WD0000m186_a_2000_09_16T04_53_20_all.dat.gz,0.0530674,18.36626,2000.707650273224,6.86877902182125
