# wdid:USNO-B1.0 1068-00000833,resolution:nan,source:/home/bergeron/SPY/HS0002+1635_an,wavelength_min: 3290.10,wavelength_max: 6641.90
wavelength,flux
3314.00,7.70376e-12
3314.10,7.22722e-12
3314.20,8.31179e-12
3314.30,8.20200e-12
3314.40,7.41101e-12
3314.50,8.52804e-12
3314.60,8.82246e-12
3314.70,6.87434e-12
3314.80,7.65214e-12
3314.90,8.11957e-12
3315.00,7.55189e-12
3315.10,7.78146e-12
3315.20,8.43889e-12
3315.30,8.21685e-12
3315.40,8.52460e-12
3315.50,9.16569e-12
3315.60,7.72330e-12
3315.70,8.24817e-12
3315.80,8.15845e-12
3315.90,7.47017e-12
3316.00,8.04317e-12
3316.10,8.02311e-12
3316.20,7.35854e-12
3316.30,6.95361e-12
3316.40,6.87039e-12
3316.50,7.72750e-12
3316.60,7.60431e-12
3316.70,8.13022e-12
3316.80,7.45551e-12
3316.90,8.23873e-12
3317.00,7.30520e-12
3317.10,8.00703e-12
3317.20,7.17835e-12
3317.30,8.17281e-12
3317.40,8.81241e-12
3317.50,8.08238e-12
3317.60,7.75649e-12
3317.70,7.46029e-12
3317.80,7.73686e-12
3317.90,7.68629e-12
3318.00,8.77080e-12
3318.10,8.60827e-12
3318.20,8.08029e-12
3318.30,7.51992e-12
3318.40,8.68586e-12
3318.50,7.85951e-12
3318.60,7.92868e-12
3318.70,7.04634e-12
3318.80,7.63388e-12
3318.90,7.64462e-12
3319.00,8.56333e-12
3319.10,8.51240e-12
3319.20,8.71099e-12
3319.30,8.67808e-12
3319.40,8.54996e-12
3319.50,8.13991e-12
3319.60,7.92537e-12
3319.70,7.88982e-12
3319.80,8.19874e-12
3319.90,7.98820e-12
3320.00,8.06111e-12
3320.10,8.36016e-12
3320.20,8.45443e-12
3320.30,8.42920e-12
3320.40,8.26569e-12
3320.50,7.65825e-12
3320.60,8.13906e-12
3320.70,8.53900e-12
3320.80,8.21802e-12
3320.90,7.75979e-12
3321.00,7.66019e-12
3321.10,6.77067e-12
3321.20,7.97238e-12
3321.30,7.70389e-12
3321.40,8.60626e-12
3321.50,7.45016e-12
3321.60,7.63388e-12
3321.70,9.13007e-12
3321.80,8.01833e-12
3321.90,8.29046e-12
3322.00,7.88677e-12
3322.10,9.23241e-12
3322.20,7.86121e-12
3322.30,7.71110e-12
3322.40,8.08013e-12
3322.50,8.00550e-12
3322.60,8.80802e-12
3322.70,8.01678e-12
3322.80,8.88127e-12
3322.90,8.05310e-12
3323.00,8.49374e-12
3323.10,8.69648e-12
3323.20,8.78836e-12
3323.30,8.31992e-12
3323.40,8.31158e-12
3323.50,7.95322e-12
3323.60,8.36527e-12
3323.70,8.33150e-12
3323.80,8.21003e-12
3323.90,7.80772e-12
3324.00,8.70525e-12
3324.10,7.64906e-12
3324.20,8.79623e-12
3324.30,8.77465e-12
3324.40,7.54870e-12
3324.50,7.58454e-12
3324.60,8.43556e-12
3324.70,8.35237e-12
3324.80,6.99299e-12
3324.90,7.91198e-12
3325.00,9.52806e-12
3325.10,8.43072e-12
3325.20,7.43763e-12
3325.30,7.35398e-12
3325.40,7.84022e-12
3325.50,7.91889e-12
3325.60,8.71953e-12
3325.70,8.32973e-12
3325.80,8.54754e-12
3325.90,8.86095e-12
3326.00,8.43898e-12
3326.10,8.07305e-12
3326.20,7.42107e-12
3326.30,7.55917e-12
3326.40,8.49083e-12
3326.50,7.95761e-12
3326.60,8.58451e-12
3326.70,7.91870e-12
3326.80,8.14696e-12
3326.90,7.65088e-12
3327.00,8.59433e-12
3327.10,8.25625e-12
3327.20,8.23200e-12
3327.30,7.63019e-12
3327.40,7.77542e-12
3327.50,7.23888e-12
3327.60,7.64339e-12
3327.70,8.62343e-12
3327.80,8.10384e-12
3327.90,8.58789e-12
3328.00,7.93893e-12
3328.10,7.82524e-12
3328.20,7.94728e-12
3328.30,7.22499e-12
3328.40,8.80258e-12
3328.50,8.41619e-12
3328.60,7.97395e-12
3328.70,7.27847e-12
3328.80,8.87604e-12
3328.90,7.93066e-12
3329.00,7.54373e-12
3329.10,8.73161e-12
3329.20,7.61931e-12
3329.30,8.49271e-12
3329.40,8.03213e-12
3329.50,8.10509e-12
3329.60,8.28345e-12
3329.70,8.35976e-12
3329.80,7.84027e-12
3329.90,8.61190e-12
3330.00,8.09458e-12
3330.10,7.85241e-12
3330.20,8.10998e-12
3330.30,7.97765e-12
3330.40,8.41285e-12
3330.50,8.04373e-12
3330.60,8.23737e-12
3330.70,8.65823e-12
3330.80,7.87347e-12
3330.90,8.16557e-12
3331.00,8.35667e-12
3331.10,8.01517e-12
3331.20,7.44747e-12
3331.30,7.52047e-12
3331.40,7.65789e-12
3331.50,7.98378e-12
3331.60,8.53147e-12
3331.70,8.13062e-12
3331.80,6.64404e-12
3331.90,7.83498e-12
3332.00,7.87174e-12
3332.10,9.03808e-12
3332.20,7.65009e-12
3332.30,8.06836e-12
3332.40,7.51025e-12
3332.50,8.03339e-12
3332.60,7.72491e-12
3332.70,8.04436e-12
3332.80,7.94925e-12
3332.90,8.96091e-12
3333.00,8.53790e-12
3333.10,7.47524e-12
3333.20,8.31842e-12
3333.30,7.97313e-12
3333.40,8.02772e-12
3333.50,8.18574e-12
3333.60,8.13026e-12
3333.70,7.70962e-12
3333.80,8.39112e-12
3333.90,8.14507e-12
3334.00,8.15594e-12
3334.10,7.85534e-12
3334.20,8.30450e-12
3334.30,7.63897e-12
3334.40,8.76166e-12
3334.50,7.98036e-12
3334.60,8.23676e-12
3334.70,8.30032e-12
3334.80,7.94433e-12
3334.90,7.55602e-12
3335.00,7.56130e-12
3335.10,7.75765e-12
3335.20,7.72695e-12
3335.30,7.13445e-12
3335.40,7.15789e-12
3335.50,7.32680e-12
3335.60,7.07116e-12
3335.70,7.65652e-12
3335.80,7.83329e-12
3335.90,7.41133e-12
3336.00,7.15638e-12
3336.10,7.83395e-12
3336.20,7.67292e-12
3336.30,7.12017e-12
3336.40,8.00876e-12
3336.50,8.32339e-12
3336.60,7.44601e-12
3336.70,7.45017e-12
3336.80,7.26269e-12
3336.90,7.16247e-12
3337.00,8.00904e-12
3337.10,7.37766e-12
3337.20,7.72284e-12
3337.30,8.45778e-12
3337.40,8.05146e-12
3337.50,7.64286e-12
3337.60,7.95990e-12
3337.70,7.49923e-12
3337.80,8.35626e-12
3337.90,8.00705e-12
3338.00,7.59758e-12
3338.10,8.06004e-12
3338.20,7.77133e-12
3338.30,7.83574e-12
3338.40,8.22023e-12
3338.50,7.14778e-12
3338.60,7.65459e-12
3338.70,7.69930e-12
3338.80,6.76309e-12
3338.90,7.19225e-12
3339.00,6.77543e-12
3339.10,7.76214e-12
3339.20,6.59064e-12
3339.30,6.81905e-12
3339.40,6.98759e-12
3339.50,6.48655e-12
3339.60,7.85524e-12
3339.70,7.54282e-12
3339.80,7.91757e-12
3339.90,7.70111e-12
3340.00,8.62292e-12
3340.10,7.67338e-12
3340.20,6.71964e-12
3340.30,7.28017e-12
3340.40,7.52811e-12
3340.50,7.90451e-12
3340.60,7.42925e-12
3340.70,7.77740e-12
3340.80,7.89141e-12
3340.90,8.03745e-12
3341.00,8.09193e-12
3341.10,7.02449e-12
3341.20,8.24445e-12
3341.30,7.79285e-12
3341.40,8.02831e-12
3341.50,6.83288e-12
3341.60,8.22184e-12
3341.70,8.07334e-12
3341.80,8.46682e-12
3341.90,7.83067e-12
3342.00,7.34570e-12
3342.10,7.87073e-12
3342.20,7.60628e-12
3342.30,7.44911e-12
3342.40,8.58128e-12
3342.50,8.94291e-12
3342.60,7.90066e-12
3342.70,7.99431e-12
3342.80,7.22248e-12
3342.90,7.59791e-12
3343.00,7.98046e-12
3343.10,7.29312e-12
3343.20,8.37139e-12
3343.30,6.96365e-12
3343.40,8.70276e-12
3343.50,8.56717e-12
3343.60,8.92382e-12
3343.70,7.60900e-12
3343.80,7.49608e-12
3343.90,7.67481e-12
3344.00,8.29595e-12
3344.10,8.51019e-12
3344.20,8.48048e-12
3344.30,8.34668e-12
3344.40,8.65647e-12
3344.50,6.92089e-12
3344.60,7.58773e-12
3344.70,7.58072e-12
3344.80,8.89664e-12
3344.90,7.74509e-12
3345.00,7.60895e-12
3345.10,7.20107e-12
3345.20,7.95924e-12
3345.30,8.02280e-12
3345.40,7.53387e-12
3345.50,6.80855e-12
3345.60,7.29134e-12
3345.70,7.74581e-12
3345.80,6.84525e-12
3345.90,8.01112e-12
3346.00,6.83523e-12
3346.10,7.63375e-12
3346.20,7.62487e-12
3346.30,8.21473e-12
3346.40,7.40502e-12
3346.50,8.42080e-12
3346.60,8.03016e-12
3346.70,7.36488e-12
3346.80,7.47516e-12
3346.90,8.28120e-12
3347.00,7.96445e-12
3347.10,8.75678e-12
